"","Time","County","SMR"
"570",10,"Solano",0.183037715875024
"571",10,"Sonoma",0
"572",10,"Stanislaus",0.723056968094237
"573",10,"Sutter",0.384480980387428
"574",10,"Tehama",0
"575",10,"Trinity",0
"576",10,"Tulare",1.09109235735996
"577",10,"Tuolumne",0
"578",10,"Ventura",0.286071087201921
"579",10,"Yolo",0
"580",10,"Yuba",0
"581",11,"Alameda",0.47971515700261
"582",11,"Alpine",0
"583",11,"Amador",0
"584",11,"Butte",0.17684642839726
"585",11,"Calaveras",0
"586",11,"Colusa",0
"587",11,"Contra Costa",0.829922055480674
"588",11,"Del Norte",0
"589",11,"El Dorado",0
"590",11,"Fresno",0.485020938469308
"591",11,"Glenn",0
"592",11,"Humboldt",0
"593",11,"Imperial",9.84649971258137
"594",11,"Inyo",0
"595",11,"Kern",1.07986232045769
"596",11,"Kings",5.16954991676576
"597",11,"Lake",0
"598",11,"Lassen",0
"599",11,"Los Angeles",1.74582763591019
"600",11,"Madera",0.240564122866924
"601",11,"Marin",0.443002337411538
"602",11,"Mariposa",0
"603",11,"Mendocino",0
"604",11,"Merced",0.535963674979375
"605",11,"Modoc",0
"606",11,"Mono",0
"607",11,"Monterey",0.0858233196331953
"608",11,"Napa",0.275768838725138
"609",11,"Nevada",0
"610",11,"Orange",1.46721620454273
"611",11,"Placer",0.192349649958011
"612",11,"Plumas",0
"613",11,"Riverside",1.20146854405009
"614",11,"Sacramento",0.221052649940711
"615",11,"San Benito",0
"616",11,"San Bernardino",0.920501643313054
"617",11,"San Diego",0.50276062912324
"618",11,"San Francisco",0.0431609695002051
"619",11,"San Joaquin",0.63977369768302
"620",11,"San Luis Obispo",0
"621",11,"San Mateo",0.643510365993564
"622",11,"Santa Barbara",1.09702306721335
"623",11,"Santa Clara",0.117438392340792
"624",11,"Santa Cruz",0.140554052626626
"625",11,"Shasta",0
"626",11,"Sierra",0
"627",11,"Siskiyou",0
"628",11,"Solano",0.0866882080463765
"629",11,"Sonoma",0.15508013347203
"630",11,"Stanislaus",1.09582683686605
"631",11,"Sutter",0
"632",11,"Tehama",0
"633",11,"Trinity",0
"634",11,"Tulare",1.98750213478938
"635",11,"Tuolumne",0
"636",11,"Ventura",0.496780837132318
"637",11,"Yolo",0.172225416639729
"638",11,"Yuba",0
"639",12,"Alameda",0.35127420491688
"640",12,"Alpine",0
"641",12,"Amador",0
"642",12,"Butte",0.258993644961272
"643",12,"Calaveras",0
"644",12,"Colusa",0
"645",12,"Contra Costa",0.46186357988493
"646",12,"Del Norte",0
"647",12,"El Dorado",0
"648",12,"Fresno",0.792278648503463
"649",12,"Glenn",0
"650",12,"Humboldt",0
"651",12,"Imperial",9.27020121519808
"652",12,"Inyo",0
"653",12,"Kern",1.18610316716471
"654",12,"Kings",1.98284580349929
"655",12,"Lake",0.434714950205572
"656",12,"Lassen",0
"657",12,"Los Angeles",1.39935857136411
"658",12,"Madera",1.23308131566503
"659",12,"Marin",1.83821583623986
"660",12,"Mariposa",0
"661",12,"Mendocino",0.318868299446914
"662",12,"Merced",0.294346881234281
"663",12,"Modoc",0
"664",12,"Mono",0
"665",12,"Monterey",0.251378493486408
"666",12,"Napa",0
"667",12,"Nevada",0
"668",12,"Orange",1.37135999043566
"669",12,"Placer",0
"670",12,"Plumas",0
"671",12,"Riverside",1.53104972911287
"672",12,"Sacramento",0.449630790267473
"673",12,"San Benito",0
"674",12,"San Bernardino",1.46254540524541
"675",12,"San Diego",0.736298770971772
"676",12,"San Francisco",0.0948146104410689
"677",12,"San Joaquin",1.51354430538946
"678",12,"San Luis Obispo",0.404506795974864
"679",12,"San Mateo",0.144988983483495
"680",12,"Santa Barbara",0.679716654759686
"681",12,"Santa Clara",0.272317321569806
"682",12,"Santa Cruz",0
"683",12,"Shasta",0.475487877500953
"684",12,"Sierra",0
"685",12,"Siskiyou",0
"686",12,"Solano",0.317389714632201
"687",12,"Sonoma",0.454233307316528
"688",12,"Stanislaus",1.15348673455427
"689",12,"Sutter",0.266677953367809
"690",12,"Tehama",0
"691",12,"Trinity",0
"692",12,"Tulare",1.97928954690985
"693",12,"Tuolumne",0
"694",12,"Ventura",0.496050883816401
"695",12,"Yolo",0.504452239321426
"696",12,"Yuba",0.711322828472334
"697",13,"Alameda",0.281186035970469
"698",13,"Alpine",0
"699",13,"Amador",0
"700",13,"Butte",0.378580335675286
"701",13,"Calaveras",0.465369849847994
"702",13,"Colusa",2.73678997210434
"703",13,"Contra Costa",0.355327696686538
"704",13,"Del Norte",0
"705",13,"El Dorado",0.106737331717148
"706",13,"Fresno",1.21800406506998
"707",13,"Glenn",0.702288581161163
"708",13,"Humboldt",0
"709",13,"Imperial",5.05458399551335
"710",13,"Inyo",0
"711",13,"Kern",1.33366900310172
"712",13,"Kings",1.18570790518818
"713",13,"Lake",0
"714",13,"Lassen",0
"715",13,"Los Angeles",1.25381877328771
"716",13,"Madera",2.31742202798769
"717",13,"Marin",2.13378321532892
"718",13,"Mariposa",0
"719",13,"Mendocino",1.16525318467632
"720",13,"Merced",1.9361584529879
"721",13,"Modoc",0
"722",13,"Mono",0
"723",13,"Monterey",0.367448994587733
"724",13,"Napa",0.590346440578519
"725",13,"Nevada",0
"726",13,"Orange",1.12357854770733
"727",13,"Placer",0.257355335459999
"728",13,"Plumas",0
"729",13,"Riverside",1.38621800439859
"730",13,"Sacramento",0.630951854102301
"731",13,"San Benito",0
"732",13,"San Bernardino",2.01701997825477
"733",13,"San Diego",0.605404363112191
"734",13,"San Francisco",0.230989882995448
"735",13,"San Joaquin",2.79184087774031
"736",13,"San Luis Obispo",0.44346161068739
"737",13,"San Mateo",0.132459760848108
"738",13,"Santa Barbara",0.903242097140621
"739",13,"Santa Clara",0.20950317551636
"740",13,"Santa Cruz",0.0752220456276038
"741",13,"Shasta",0.347518875030229
"742",13,"Sierra",0
