"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.000102221616464495,0.00395256916996047,0.013561401117623,0.0312457407659806,0.0668870110399346,0.112648221343874,0.155410930898187,0.205022488755622,0.258484394166553,0.28949161782745,0.321827722502385,0.337876516287311,0.354981600109036,0.366260051792286,0.377061469265367,0.386125119258553,0.396858388987325,0.409840534278315,0.42404933896688,0.441392939893689,0.453489164508655,0.462893553223388,0.470866839307619,0.478601608286766,0.48575712143928,0.493696333651356,0.499488891917678,0.507462178001908,0.513493253373313,0.518297669347145,0.523579119531144,0.527429467084639,0.529780564263323,0.531620553359684,0.533153877606651,0.534721275725773,0.535982008995502,0.53652719094998,0.537208668393076,0.537890145836173,0.53850347553496,0.53942347008314,0.540207169142701,0.541161237563037,0.541808641133978,0.542285675344146,0.542762709554314,0.543069374403707,0.543273817636636,0.543410113125256,0.543648630230339,0.543818999591114,0.543955295079733
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.45723277006368e-06,7.45723277006368e-06,0.00939611329028024,0.0221554385598592,0.0505152947844114,0.109278289012513,0.159495294486122,0.210614625124909,0.266461841339916,0.323442556935972,0.415009918119584,0.45320586436785,0.474958612358126,0.503743530850572,0.517412638518099,0.528911691449537,0.538867097197572,0.549784485972945,0.562827186087787,0.576891527092127,0.589725424689406,0.598830705901654,0.604818863816015,0.6112246267655,0.616742979015347,0.628555235723128,0.639987173559636,0.644864203791257,0.651724857939716,0.657429641008814,0.662306671240436,0.665886142970067,0.668451431042969,0.670092022252383,0.671628212203016,0.673007800265477,0.674059270086056,0.675133111604946,0.676177124192755,0.677071992125162,0.677787886471088,0.678548524213635,0.679674566361914,0.680793151277424,0.681822249399693,0.68270220286656,0.683552327402348,0.684491938731376,0.685103431818521,0.685617980879655,0.686065414845859,0.686393533087742,0.686863338752256,0.687161628063058
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04357445121029e-05,1.04357445121029e-05,1.04357445121029e-05,1.04357445121029e-05,1.04357445121029e-05,1.56536167681543e-05,1.56536167681543e-05,1.56536167681543e-05,2.08714890242057e-05,3.13072335363086e-05,0.00316724845942322,0.0089695224081524,0.0264963553162291,0.0522882978778914,0.0904413798141394,0.155852626416,0.242031004596945,0.299104091333636,0.367463435760166,0.424786980365147,0.46973894985103,0.50973915856592,0.540597655088208,0.56755318316297,0.588967330901805,0.608189972293098,0.627819607720364,0.649880771618949,0.668665111740734,0.678573851154976,0.687689473986298,0.698699184446566,0.713147472723573,0.74025431909376,0.779268349952256,0.803907142745331,0.832255842712459,0.848895637337007,0.866907732364896,0.879279307483994,0.887580942243372,0.894400701282031,0.899973388851494,0.904121597295055,0.907544521495025,0.91049783719195,0.913085901830951,0.916279239651655,0.919843046402538,0.923813847189393,0.927210682028083,0.929913539856717,0.932840766192362,0.934119144895095,0.935726249549959,0.936947231657875,0.938178649510303,0.939217006089257,0.939947508205104,0.940594524364854,0.941319808608446,0.941904210301123
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41917303419498e-05,0.000162575191025849,0.0263371809461876,0.0422153579363789,0.0800953774454018,0.113314908145017,0.220560342491736,0.251991546090067,0.30932639679185,0.35880344659405,0.403890966238552,0.458191080041186,0.471955779548041,0.494499539370292,0.502194765078849,0.507288787730992,0.512437002113478,0.518940009754511,0.526526852002384,0.538286457486588,0.54836611933019,0.555465236004986,0.562076627106703,0.569013168590473,0.576925161220398,0.586408714030239,0.596271608952474,0.600173413537094,0.60645965425676,0.610307267111039,0.615292906302498,0.618815368774725,0.620495312415325,0.621524955291823,0.622988132011055,0.624342925269604,0.625209992955075,0.626564786213624,0.627323470438411,0.627973771202515,0.62840730504525,0.628895030618328,0.629653714843115,0.630249823876876,0.630737549449954,0.630954316371322,0.631279466753373,0.631875575787135,0.632417493090554,0.63258006828158,0.63285102693329,0.632959410393974,0.633176177315342,0.633284560776026
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07845664226838e-06,1.07845664226838e-06,1.07845664226838e-06,1.07845664226838e-06,1.07845664226838e-06,2.15691328453677e-06,4.31382656907353e-06,5.39228321134191e-06,0.00256241298202968,0.0082545071399222,0.0259757066856763,0.0510066853527254,0.0784889959676506,0.121588437219264,0.177420137589498,0.223301996978164,0.264715810497913,0.290362587907697,0.309218323841117,0.32812259032344,0.339425894391055,0.349633486510125,0.358519969242417,0.368576577431569,0.383439866875312,0.399847506230783,0.417615079412155,0.430583520535432,0.441093080514338,0.451189591599254,0.45965979006763,0.469579434263215,0.478886515085991,0.485575103181339,0.493087632151381,0.500162307724661,0.507122666893862,0.5123898491347,0.515882970199008,0.518349400539875,0.520265817993186,0.521699086870761,0.522952253489077,0.52409002524667,0.525025047155517,0.525918009255315,0.526758126979642,0.527630598403237,0.528556992658946,0.529473680804874,0.530329975378835,0.53089832202931,0.531513042315403,0.53199187706457,0.532327277080316,0.532702579991825,0.533006704764945,0.533248279052813,0.533498480993819,0.533654857206948
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27841272276342e-05,1.91761908414513e-05,0.00341975403339214,0.00771522078187722,0.0214325892971287,0.0424560865229731,0.0622650916621922,0.108224029045537,0.167574339699829,0.20714760553297,0.229276929764005,0.248900565058423,0.262630717700903,0.278323233872823,0.286620132443558,0.294405665925187,0.301513640663752,0.310417785277799,0.324020096648002,0.338108204852855,0.354024443251259,0.366463399043747,0.375150213494925,0.383038019994375,0.389481220117103,0.397375418680167,0.40543581089719,0.411354861803585,0.417881158753292,0.424298790621564,0.430307330418552,0.434366290813326,0.437044565467516,0.439070849633096,0.440707217918233,0.442292449694459,0.443558078289995,0.444631944977116,0.445450129119685,0.446376978343689,0.447169594231802,0.448115619646647,0.449119173634016,0.450269745084503,0.451132673672368,0.451707959397612,0.452244892741173,0.452602848303546,0.453031116565672,0.453350719746363,0.453651146736212,0.453913221344379,0.454252000715911,0.45436705786096
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5415208644849e-05,1.5415208644849e-05,1.5415208644849e-05,3.0830417289698e-05,0.00553405990350079,0.0161859690770915,0.031447025635492,0.082286383746204,0.13882936905551,0.183872608715759,0.231258960090025,0.273727859906584,0.311140571287632,0.343990380909806,0.362396140031755,0.381588074794592,0.392841177105332,0.403631823156726,0.414360808373541,0.425536834641057,0.440859552034037,0.459573615328883,0.473108168519061,0.482804334756671,0.4915447580583,0.497895824019978,0.503769018513666,0.509518891338194,0.51554623791833,0.519631268209215,0.524579550184212,0.528402521928134,0.533720768910607,0.537667062323689,0.540796349678593,0.542492022629526,0.543941052242142,0.545374666646113,0.547147415640271,0.548396047540503,0.549259299224615,0.55032294862111,0.551062878636062,0.551540750104053,0.552157358449847,0.552696890752416,0.553251838263631,0.553637218479752,0.553899277026715,0.554099674739098,0.554284657242836,0.554592961415733,0.554685452667602,0.554747113502181,0.55490126558863,0.554993756840499
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32612672542824e-05,3.32612672542824e-05,3.32612672542824e-05,3.32612672542824e-05,6.65225345085648e-05,6.65225345085648e-05,6.65225345085648e-05,6.65225345085648e-05,9.97838017628472e-05,0.00149675702644271,0.00645268584733078,0.0280059870281058,0.0501579910194578,0.070314318975553,0.0843505737568601,0.10936304673208,0.15735905538001,0.169965075669383,0.180608681190753,0.190786628970564,0.197538666223183,0.20209545983702,0.205621154165974,0.209579244969233,0.21483452519541,0.219690670214535,0.22710793281224,0.237053051721271,0.244802926991518,0.253450856477632,0.263063362714119,0.270746715449859,0.274771328787627,0.279594212539498,0.282055546316315,0.284417096291369,0.285614501912523,0.287344087809746,0.288807583568934,0.290337601862631,0.290670214535174,0.291501746216531,0.292333277897888,0.292665890570431,0.292898719441211,0.293264593381008,0.293896557458839,0.294528521536671,0.295160485614502,0.295493098287045,0.295892233494096,0.296058539830368,0.296291368701148,0.296457675037419,0.296690503908199,0.296790287709962,0.296923332778979,0.296989855313487,0.297023116580742,0.29708963911525,0.29708963911525
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55982559979925e-06,1.06263118986324e-05,2.59321005966625e-05,3.64609233953075e-05,3.83132162950691e-05,4.57223878941155e-05,5.11817774934129e-05,6.239302399197e-05,8.72527444887706e-05,9.42719596878672e-05,0.0084879859795076,0.0167160660184486,0.043791616268864,0.0861003258378189,0.126021234880781,0.17567652804659,0.25384270348193,0.322727039196565,0.395759926072066,0.452169751530506,0.485354163764335,0.514481762080386,0.530321596068148,0.543923860232997,0.55540212937642,0.567484051026965,0.583255252688335,0.597467408662706,0.609802217038618,0.619447301145877,0.628002749582576,0.637845834051909,0.646399820152108,0.660102205622645,0.673949752363063,0.682026236851523,0.69114468484065,0.69898787791284,0.705819816550861,0.710392835253072,0.713298790345498,0.715388566692829,0.717221556750794,0.718766271540095,0.720172844274714,0.721453266113949,0.722633956603897,0.723706239214659,0.724660560014436,0.725628626777312,0.726925719252645,0.728209748188579,0.729333017598635,0.730100451793736,0.730911951062032,0.731562105869848,0.732130174855475,0.732604361837814,0.733027659509959,0.733354540462217,0.733672452417276,0.733914030407045
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24652537026279e-06,6.24652537026279e-06,6.24652537026279e-06,6.24652537026279e-06,1.87395761107884e-05,2.49861014810512e-05,0.00284216904346957,0.00918863881965657,0.0317698280331566,0.0549506836822018,0.0916177876056444,0.142045986919776,0.20441129621648,0.25648857822836,0.300189269718719,0.326412183223082,0.34395242646278,0.362385922830426,0.371555822073971,0.380294711066969,0.388889929976451,0.398122294473699,0.411196272073659,0.427593401170599,0.441585617999988,0.451954850114624,0.460094072672076,0.467764805826759,0.474186233907389,0.48276895976613,0.492313650531892,0.498635134206598,0.506724384561088,0.514882346694651,0.521591114942313,0.526725758796669,0.530423701815865,0.533347075689148,0.535552099144851,0.537138716588897,0.538475473018134,0.539537382331078,0.540436881984396,0.541348874688454,0.542229634765662,0.542922999081761,0.543972415343965,0.544946873301726,0.545896345158006,0.546533490745773,0.547026966250023,0.547408004297609,0.547864000649639,0.548238792171854,0.548544871914997,0.548769746828327,0.549000868267026,0.549182017502764
